"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<TChinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Korean>";"<Hungarian>";"<Belarusian>";"<Romanian>";"<Comments>"
"settings/clipmapScale_title";"Terrain resolution. Increasing quality requires significant amount of video RAM.";"Résolution du terrain. L’augmentation de ce paramètre demande une quantité importante de mémoire vidéo.";"Risoluzione del terreno. L'aumento della qualità richiede una notevole quantità di RAM video.";"Geländeauflösung. Eine hohe Qualitätseinstellung beansprucht große Mengen an Grafikkartenspeicher.";"Resolución del terreno. Aumentar la calidad requiere una cantidad considerable de RAM de vídeo.";"Разрешение ландшафта. Повышение качества требует значительного объёма видеопамяти.";"Rozdzielczość terenu. Zwiększenie jakości wymaga odpowiedniej ilości pamięci RAM na karcie graficznej.";"Rozlišení terénu. Zvýšení kvality značně navýší nároky na grafickou paměť.";"Arazi çözünürlüğü. Kaliteyi arttırmak ciddi miktarda ekran kartı hafızası gerektirir.";"提升地形分辨率会消耗大量显存。";"提升地形解析度會佔用大量的VRAM。";"テレイン解像度。品質を上げるには、大容量のビデオ RAM が必要です。";"Resolução do terreno. Aumentando a qualidade requer uma quantidade significatida de video RAM.";"Độ phân giải địa hình. Nâng cao chất lượng đòi hỏi đáng kể bộ nhớ RAM video.";"Роздільна здатність ландшафту. Збільшення якості потребує значного об'єму відеопам'яті.";"Rezolucija terena. Povećavanje kvaliteta zahteva veliku količinu video RAM memorije.";"지형 해상도. 품질을 높이려면 비디오 RAM이 많이 필요합니다.";"A terepfelbontás növelése jelentős mennyiségű videomemóriát igényel.";"Разрознасць краявіду. Павышэнне якасці патрабуе значнага аб'ёму памяці відэакарты.";"Rezoluția terenului. Mărirea calității necesită o cantitate de memorie video sporită.";""
"settings/landquality_title";"Terrain quality. Increasing quality requires significant amount of video RAM and a powerful videocard.";"Qualité du terrain. L’augmentation de ce paramètre demande une quantité importante de mémoire vidéo.";"Risoluzione del terreno. L'aumento della qualità richiede una notevole quantità di RAM video.";"Geländequalität. Eine hohe Qualitätseinstellung beansprucht große Mengen an Grafikkartenspeicher und erfordert eine leistungsstarke Grafikkarte.";"Resolución del terreno. Aumentar la calidad requiere una cantidad considerable de RAM de vídeo.";"Качество отображения ландшафта. Повышение качества требует значительного объёма видеопамяти и мощной видеоподсистемы.";"Rozdzielczość terenu. Zwiększenie jakości wymaga odpowiedniej ilości pamięci RAM na karcie graficznej.";"Kvalita terénu. Zvýšení kvality značně navýší nároky na grafickou paměť.";"Arazi Kalitesi. Kaliteyi arttırmak ciddi miktarda ekran kartı hafızası ve güçlü bir kart gerektirir.";"提升地形分辨率会消耗大量显存。";"提升地形品質需要更好的顯卡和足夠的VRAM。";"テレイン解像度。品質を上げるには、大容量のビデオ RAM が必要です。";"Qualidade do terreno. Increasing quality requires significant amount of video RAM e uma placa gráfica poderosa.";"Chi tiết địa hình. Nâng cao chi tiết đòi hỏi phải có số lượng đáng kể bộ nhớ RAM video và card màn hình mạnh mẽ.";"Якість відображення ландшафту. Підвищення якості потребує значного об'єму відеопам'яті і потужної відеопідсистеми.";"Kvalitet terena. Povećavanje kvaliteta zahteva veliku količinu video RAM memorije i jaku grafičku kartu.";"지형 품질. 품질을 높이려면 넉넉한 비디오 RAM과 강력한 비디오 카드가 필요합니다.";"A terepminőség növelése jelentős mennyiségű videomemóriát és erős videokártyát igényel.";"Якасць краявіду. Павышэнне якасці патрабуе значнага аб'ёму памяці відэакарты.";"Calitatea terenului. Mărirea calității necesită o cantitate de memorie video sporită și o placă video puternică.";""
"settings/compatibilityMode";"Old videocard support";"Support des anciennes cartes graphiques";"Supporto per schede grafiche obsolete";"Alte Grafikkarte";"Compatibilidad con tarjetas de vídeo antiguas";"Совместимость со старыми видеокартами";"Obsługa starych kart graficznych";"Podpora starých grafických karet";"Eski ekran kartı desteği";"低端显卡支持";"低端顯示卡輔助";"古いビデオカードのサポート";"Suporte a placas gráficas antigas";"Hỗ trợ card màn hình cũ";"Сумісність зі старими відеокартами";"Podrška starih grafičkih karti";"구형 비디오 카드 지원";"Elavult videokártyák támogatása";"Сумяшчальнасць са старымі відэакартамі";"Suport placă video veche";""
"error/donot_change_circuit";"If you will change server, you'll switch to test version of the game. This option is enabled only for test purposes. Are you sure you want to change it?";"Si vous changer de serveur, vous basculerez à la version d'essai du jeu. Cette option est activée uniquement à des fins de test. Êtes-vous toujours sûr de vouloir changer ?";"Se si cambia server si passerà alla versione di prova del gioco. Questa opzione è attiva solo per finalità di test. Cambiarla in ogni caso?";"Wenn sie den Server wechseln, wechseln sie zur Testversion des Spiels. Diese Option ist nur zu Testzwecken aktiviert. Server trotzdem wechseln?";"Si cambias el servidor, cambiarás a la versión de prueba del juego. Esta opción está habilitada solo con fines de prueba. ¿Seguro que todavía quieres cambiarla?";"Смена сервера приведёт к скачиванию тестовой версии игры. Вы действительно хотите сделать это?";"Zmiana serwera oznacza przejście do próbnej wersji gry. Opcja ta jest dostępna wyłącznie do celów testowych. Na pewno chcesz dokonać zmiany?";"Pokud změníte server, přepnete se do zkušební verze hry. Tato možnost je k dispozici pouze pro testovací účely. Určitě chcete server změnit?";"Sunucuyu değiştirirseniz oyunun test sürümüne geçersiniz. Bu seçenek yalnızca test amaçlı etkinleştirilmiştir. Değiştirmek istediğinizden emin misiniz?";"此选项仅用于测试目的。若变更服务器，游戏也将切换至测试版本。确定要变更吗？";"此選項僅用於測試目的。若變更伺服器，遊戲也將切換至測試版本。確定要變更嗎？";"サーバーを変更すると、ゲームのテストバージョンに切り替わります。このオプションは、テスト目的でしか有効にできません。それでも、変更しますか?";"Se mudar de servidor vai mudar para a versão de teste do jogo. Esta opção ativada serve apenas para teste. Tem a certeza que deseja alterar esta opção?";"Nếu bạn thay đổi máy chủ, bạn sẽ chuyển sang phiên bản thử nghiệm của trò chơi. Tùy chọn này chỉ được kích hoạt cho mục đích thử nghiệm. Bạn vẫn chắc chắn muốn thay đổi?";"Якщо ви зміните сервер, то ви перемкнетеся на тестову версію гри. Ця опція активна лише для тестових цілей. Ви все одно бажаєте змінити його?";"Ako promenite server, preći ćete na test verziju igre. Ova opcija je omogućena samo za testiranje. Da li ste sigurni da želite da promenite server?";"서버를 변경하면 게임 시험 버전으로 전환됩니다. 이 옵션은 시험용으로만 사용됩니다. 계속 변경하시겠습니까?";"A szerverváltással a játék tesztverziójára váltasz. Ez az opció csakis tesztelési célokra van engedélyezve. Egészen biztos vagy benne, hogy át szeretnél váltani?";"Калі змяніць сервер, спампуецца тэставая версія гульні. Гэты параметр уключаецца толькі ў мэтах тэставання. Ці сапраўды хочаце зрабіць гэта?";"Dacă se schimbă serverul, se va comuta la versiune de testare a jocului.";""
"error/compatibilityMode";"Enabling old videocard support reduces graphics quality very much. It is not recommended to enable this mode until you can play on 'low' or any custom settings.

Are you sure you want to proceed?";"L'activation du support des anciennes cartes graphiques réduit énormément la qualité graphique. Il n'est pas recommandé d'activer ce mode, sauf si vous jouez sur ""Faible"" ou tout autre mode personnalisé reduit.

Êtes-vous sûr de vouloir continuer ?";"Attivando il supporto per schede grafiche obsolete la qualità grafica verrà considerevolmente ridotta. Si sconsiglia di attivare questa opzione nel caso in cui sia possibile ottenere prestazioni soddisfacenti utilizzando il set predefinito di impostazioni ""basso"" o qualsiasi altra combinazione di impostazioni personalizzate.

Procedere comunque?";"Der Kompatibilitätsmodus für die Unterstützung alter Grafikkarten setzt die Grafikqualität stark herab. Dieser Modus wird nicht empfohlen, sollte das Spiel auf minimalen oder besseren Grafikeinstellungen flüssig gespielt werden können.

Soll der Kompatibilitätsmodus für alte Grafikkarten wirklich aktiviert werden?";"Si habilitas la compatibilidad con tarjetas de vídeo antiguas, se reducirá notablemente la calidad de los gráficos. No se recomienda habilitar este modo hasta que puedas jugar en el ajuste «baja» o cualquier ajuste personalizado.

¿Seguro que deseas continuar?";"Вы собираетесь включить режим совместимости со старыми видеокартами. В этом режиме качество картинки снижается крайне сильно. Не рекомендуется включать этот режим, если игра запускается на других настройках качества.

Вы действительно хотите продолжить?";"Obsługa starych kart graficznych bardzo obniża jakość grafiki. Jeśli jesteś w stanie grać na „niskich” lub własnych ustawieniach, tryb ten nie jest zalecany.

Czy na pewno chcesz kontynuować?";"Aktivace podpory starých grafických karet má velký dopad na kvalitu grafiky. Pokud dokážete zprovoznit nízké nebo jakékoli vlastní nastavení grafiky, tento režim nedoporučujeme.

Opravdu chcete pokračovat?";"Eski ekran kartı desteğini etkinleştirmek, grafik kalitesini çok azaltır. 'Düşük' veya herhangi bir özel ayarda oynayabiliyorsanız bu modu etkinleştirmeniz önerilmez.

Devam etmek istediğinizden emin misiniz?";"启用低端显卡支持会大幅降低图像质量。只要能使用“低”画质或其他图像设定正常游戏，就不建议启用此模式。

确定要继续启用吗？";"啟用低端顯示卡輔助會大幅降低圖像品質。只要能使用“低”畫質或其他圖像設定正常遊戲，就不建議啟用此模式。

确定要继续启用吗？";"古いビデオカードのサポートを有効にすると、グラフィック品質が非常に低下します。「低」設定またはいずれかのカスタム設定でプレイできるまで、このモードを有効にすることは推奨できません。\n\n本当に続けますか？";"Ativando o suporte para placas gráficas velhas reduz muito a qualidade dos gráficos. Não é recomendado ativar este modo, até que possa jogar em configurações ''baixas'' ou outras personalizadas.

Tem a certeza que deseja prosseguir?";"Cho phép hỗ trợ card video cũ làm giảm Chi tiết đồ họa rất nhiều. Không khuyến khích để kích hoạt chế độ này, cho đến khi bạn có thể chơi trên tùy cài đặt 'thấp' hoặc bất kỳ thiết lập tùy chỉnh.

Bạn có chắc muốn tiếp tục?";"Ви збираєтесь увімкнути режим сумісності зі старими відеокартами. В цьому режимі якість картинки знижується дуже сильно. Режим не рекомендується вмикати, якщо гра запускається на інших налаштуваннях якості.

Ви дійсно хочете продовжити?";"Uključivanje podrške starih grafičkih karti veoma smanjuje kvalitet grafike. Nije preporučeno koristiti ovaj mod sve dok možete igrati na niskim ili podesivim podešavanjima.

Da li ste sigurni da želite da nastavite?";"구형 비디오 카드 지원을 사용하면 그래픽 품질이 크게 떨어집니다. '낮음' 또는 기타 사용자 지정 설정에서 플레이할 수 있을 때 이 모드를 사용하십시오.

계속하시겠습니까?";"Az elavult videokártyák támogatásának engedélyezése nagy mértékben csökkenti a grafika minőségét. Nem ajánlott bekapcsolni, amíg a játék használható alacsony vagy bármilyen más grafikai beállításokkal.

Biztosan tovább szeretnél lépni?";"Уключэнне сумяшчальнасці са старымі відэакартамі значна пагаршае якасць выявы. Не рэкамендуецца ўключаць яе, калі вы можаце гуляць з іншымі наладамі графікі.

Ці сапраўды хочаце працягнуць?";"Activarea suportului pentru plăcile video vechi reduce foarte mult calitatea grafică. Nu este recomandată activarea acestui mod până când vei putea juca pe setarea ""Mică"" sau pe orice setări personalizate.

Sigur dorești să continui?";""
"settings/adv/supersampling";"Supersampling";"Suréchantillonnage";"Super campionamento";"Supersampling";"Súpermuestreo";"Суперсэмплинг";"Nadpróbkowanie";"Supervzorkování";"Supersampling";"超级采样反锯齿";"超取樣反鋸齒";"スーパーサンプリング";"Supersampling";"Chất lượng hình ảnh cao";"Суперсемплінг";"Supersemplovanje";"슈퍼샘플링";"Supersampling";"Supersampling";"Supraeșanționare";""
"settings/adv/supersampling_title";"Supersampling is a very computationally expensive anti-aliasing technique.";"Le suréchantillonnage est une technique d'anticrénelage très coûteuse en performances.";"Il super campionamento è una tecnica di antialiasing che richiede notevoli risorse di calcolo.";"Supersampling ist ein äußerst rechenintensives Anti-Aliasing-Verfahren.";"El súpermuestreo es una técnica informática de suavizado de contorno muy cara.";"Суперсэмплинг - это крайне вычислительноёмкая техника сглаживания.";"Supersampling to technika antialiasingu wymagająca dużych możliwości obliczeniowych.";"Supervzorkování je výpočetně velice náročná technika pro vyhlazování hran.";"Supersampling, çok yüksek gereksinimleri olan bir anti-aliasing tekniğidir.";"超级采样反锯齿的运算开销非常高。";"超取樣反鋸齒的運算消耗非常高。";"スーパーサンプリングは、計算コストが非常に高いアンチエリアス処理技術です。";"Supersampling é uma técnica anti-aliasing computacionalmente muito dispendiosa.";"Supersampling là một kỹ thuật chống nhòe tốn nhiều tài nguyên tính toán.";"Суперсемплінг - це дуже обчислювальноємна техніка згладжування.";"Supersampling je tehnika anti-aliasinga koja zahteva veoma složene proračune.";"슈퍼샘플링은 컴퓨터 자원이 많이 필요한 앤티앨리어싱 기법입니다.";"A supersampling egy különösen számításigényes élsimítási technológia.";"Supersampling — тэхніка згладжвання, якая патрабуе вялікай вылічальнай магутнасці.";"Supraeșanționarea este o tehnică de anticrenelare ce necesită resurse mari de calcul.";""
"setting/mouse";"Mouse";"Souris ";"Mouse";"Maus";"Ratón";"Мышь";"Mysz";"Myš";"Fare";"鼠标";"滑鼠";"マウス";"Rato";"Chuột";"Миша";"Miš";"마우스";"Egér";"Мыш";"Mouse";""
"setting/mouse/sensX";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X 轴";"X 軸";"X";"X";"X";"X";"X";"X";"X";"X";"X";""
"setting/mouse/sensY";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y 轴";"Y 軸";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";"Y";""
"setting/mouse/sensZ";"Mouse wheel";"Molette";"Rotellina del mouse";"Mausrad";"Rueda del ratón";"Колёсико мыши";"Kółko myszki";"Kolečko myši";"Fare Tekerleği";"鼠标滚轮";"鼠標滾輪";"マウスホイール";"Roda do Mouse";"Con lăn chuột";"Колесо миші";"Točkić miša";"마우스 휠";"Görgetőkerék";"Кольца мышы";"Rotiță mouse";""
"setting/mouse/sensX_title";"Mouse horizontal sensitivity";"Sensibilité horizontale de la souris";"Sensibilità orizzontale del mouse";"Horizontale Mausempfindlichkeit";"Sensibilidad horizontal del ratón";"Чувствительность мыши по оси X";"Czułość myszki w osi X";"Vodorovná citlivost myši";"Yatay fare hassaslığı";"鼠标水平灵敏度";"滑鼠水平靈敏度";"マウスの水平感度";"Sensibilidade horizontal do mouse";"Độ nhạy chuột ngang";"Чутливість миші по вісі X";"Osetljivost miša po horizontali";"마우스 수평 감도";"Egér horizontális érzékenysége";"Адчувальнасць мышы па восі X";"Sensibilitate orizontală mouse";""
"setting/mouse/sensY_title";"Mouse vertical sensitivity";"Sensibilité verticale de la souris";"Sensibilità verticale del mouse";"Vertikale Mausempfindlichkeit";"Sensibilidad vertical del ratón";"Чувствительность мыши по оси Y";"Czułość myszki w osi Y";"Svislá citlivost myši";"Dikey fare hassasiyeti";"鼠标垂直灵敏度";"滑鼠垂直靈敏度";"マウスの垂直感度";"Sensibilidade vertical do mouse";"Độ nhạy chuột dọc";"Чутливість миші по вісі Y";"Osetljivost miša po vertikali";"마우스 수직 감도";"Egér vertikális érzékenysége";"Адчувальнасць мышы па восі Y";"Sensibilitate verticală mouse";""
"setting/mouse/sensZ_title";"Mouse wheel sensitivity";"Sensibilité molette de la souris";"Sensibilità della rotellina del mouse";"Mausradempfindlichkeit";"Sensibilidad de la rueda del ratón";"Чувствительность колёсика мыши";"Czułość kółka myszki";"Citlivost kolečka myši";"Fare Tekerleği hassasiyeti";"鼠标滚轮灵敏度";"滑鼠滾輪靈敏度";"マウスホイール感度";"Sensibilidade da roda do mouse";"Độ nhạy con lăn chuột";"Чутливість колеса миші";"Osetljivost točkića miša";"마우스 휠 감도";"Görgetőkerék érzékenysége";"Адчувальнасць кольца мышы";"Sensibilitate rotiță mouse";""
"setting/mouse/invertX_title";"Invert mouse X axis";"Inverser axe X de la souris";"Inverti asse X del mouse";"Maus-X-Achse invertieren";"Invertir el eje X del ratón";"Инвертировать ось X";"Odwróć oś X";"Převrátit osu X myši";"Fare X eksenini ters çevir";"反转鼠标 X 轴";"反轉滑鼠 X 軸";"マウスの X 軸の反転";"Inverter eixo X do mouse";"Hoán đổi trục X chuột";"Інвертувати вісь X";"Obrni X osu miša";"마우스 X축 반전";"Egér X tengelyének megfordítása";"Інвертаваць вось X";"Inversare axă X mouse";""
"setting/mouse/invertY_title";"Invert mouse Y axis";"Inverser axe Y de la souris";"Inverti asse Y del mouse";"Maus-Y-Achse invertieren";"Invertir el eje Y del ratón";"Инвертировать ось Y";"Odwróć oś Y";"Převrátit osu Y myši";"Fare Y eksenini ters çevir";"反转鼠标 Y 轴";"反轉滑鼠 Y 軸";"マウスの Y 軸の反転";"Inverter eixo Y do mouse";"Hoán đổi trục Y chuột";"Інвертувати вісь Y";"Obrni Y osu miša";"마우스 Y축 반전";"Egér Y tengelyének megfordítása";"Інвертаваць вось Y";"Inversare axă Y mouse";""
"setting/mouse/invertZ_title";"Invert mouse wheel";"Inverser axe molette de la souris";"Inverti rotellina del mouse";"Mausrad invertieren";"Invertir la rueda del ratón";"Инвертировать колёсико мыши";"Odwróć kółko myszki";"Převrátit kolečko myši";"Fare tekerleğini ters çevir";"反转鼠标滚轮方向";"反轉滑鼠滾輪方向";"マウスホイールの反転";"Inverter a roda do mouse";"Hoán đổi con lăn chuột";"Інвертувати колесо миші";"Obrni točkić miša";"마우스 휠 반전";"Görgetőkerék megfordítása";"Інвертаваць кольца мышы";"Inversare rotiță mouse";""
"setting/hq_download";"To use maximum texture quality, you need an additional content pack (approximately 16 GB). Would you like to check files for it and download it now (if a newer version exists)?";"Pour profiter des textures de haute qualité, il vous faudra télécharger un pack supplémentaire (environ 16GO). Voulez vous vérifier les fichiers et lancer le téléchargement maintenant (si une nouvelle version existe)  ?";"Per utilizzare le texture di massima qualità occorre il pacchetto di contenuti aggiuntivi (circa 16 GB). Verificare i file associati e scaricarli ora (nel caso siano disponibili versioni più recenti)?";"Um das Spiel auf maximalen Texturqualitätseinstellungen spielen zu können, ist der Download eines zusätzlichen Dateipakets erforderlich, dessen Größe etwa 16 GB beträgt. Sollen die entsprechenden Dateien jetzt geprüft und das Paket heruntergeladen werden (falls eine neue Version verfügbar ist)?";"Para usar la máxima calidad de textura, necesitas un paquete de contenido adicional (aproximadamente 16 GB). ¿Deseas buscarlo en los archivos y descargarlo ahora (si existe una versión más reciente)?";"Чтобы использовать максимальное качество текстур, вам необходимо иметь дополнительный контент (примерно 16 ГБ). Желаете проверить файлы и загрузить (если необходимо) сейчас?";"Aby móc korzystać z najwyższej jakości tekstur, potrzebujesz dodatkowej paczki (około 16 GB). Chcesz sprawdzić, czy znajduje się ona w plikach, i pobrać ją teraz (o ile istnieje nowsza wersja)?";"Pokud chcete použít maximální kvalitu textur, potřebujete balíček s přídavným obsahem (asi 16 GB). Chcete zkontrolovat soubory a stáhnout jej nyní (pokud existuje novější verze)?";"Maksimum doku kalitesi kullanmak için ek içerik paketine (yaklaşık 16 GB) ihtiyacınız var. Dosyaları hemen şimdi kontrol etmek ve (eğer yeni versiyonlar varsa) indirmek ister misiniz?";"需下载额外的内容包（约 16GB）才能使用“最高”纹理质量。现在就检查并下载（如有新版本）相关文件吗？";"需下載額外的内容包（約 16GB）才能使用“最高”纹理品質。現在就檢查並下載（如有新版本）相關檔案嗎？";"最高品質のテクスチャを使用するには、追加のコンテンツパック (約 16 GB) が必要です。そのファイルをチェックして、すぐにダウンロードしますか (新しいバージョンがある場合)?";"Para usar a qualidade de texturas máxima, precisa de conteúdo adicional (aproximadamente 16 GB). Precisa de verificar of ficheiros e descarregar (se uma nova versão existir)?";"Sử dụng Chi tiết kết cấu tối đa, bạn cần gói nội dung bổ sung (khoảng 16 GB). Bạn có muốn kiểm tra các tập tin và tải về ngay bây giờ (nếu tồn tại phiên bản mới hơn)?";"Для використання текстур максимальної якості, вам необхідно завантажити додатковий контент (приблизно 16 ГБ). Бажаєте перевірити файли, на наявність новішої версії, та одразу ж завантажити їх?";"Da biste koristili maksimalan kvalitet tekstura, morate imati dopunski sadržaj (oko 16 GB). Da li želite da proverite i skinete fajlove (ako je potrebno) sad?";"최고의 텍스처 품질을 사용하기 위해 추가 콘텐츠 팩(약 16 GB)이 필요합니다. 새 버전이 있다면 이에 대한 파일을 확인하고 다운로드하시겠습니까?";"A maximális textúraminőség használatához egy további, kb. 16 GB-os tartalmi csomagra van szükség. Szeretnéd ellenőrizni és letölteni a fájlokat (ha van új verzió)?";"Для выкарыстання максімальнай якасці тэкстур патрабуецца дадатковы кантэнт (прыблізна 16 ГБ). Ці хочаце праверыць файлы і спампаваць зараз (калі новая версія даступная)?";"Pentru a folosi calitatea maximă a texturii, trebuie descărcat un pachet suplimentar (aprocimativ 16 GB). Dorești să verifici fișierele și să-l descarci acum (dacă există o versiune mai nouă)?";""
"news_url";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-fr.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-es.html";"https://warthunder.com/news3-ru.html";"https://warthunder.com/news3-pl.html";"https://warthunder.com/news3-cz.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-zh.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-pt.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-ko.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-en.html";"https://warthunder.com/news3-en.html";""
"update_info";"UPDATE 1.83 RELEASED!";"MISE À JOUR 1.83 PUBLIÉE!";"AGGIORNAMENTO 1.83 RILASCIATO!";"UPDATE 1.83 VERÖFFENTLICHT!";"ACTUALIZACIÓN 1.83 ¡LANZADA!";"ОБНОВЛЕНИЕ 1.83!";"AKTUALIZACJA 1.83 JUŻ JEST!";"BYLA VYDÁNA AKTUALIZACE 1.83!";"GÜNCELLEME 1.83 YAYINLANDI!";"12-31-82";"12-31-82";"アップデート1.83が公開！";"ATUALIZAÇÃO 1.83 LANÇADA!";"PHIÊN BẢN 1.83 ĐÃ RA MẮT!";"ОНОВЛЕННЯ 1.83!";"1.83 AŽURIRANJE JE DOSTUPNO!";"업데이트 1.83 배포";"MEGJELENT AZ 1.83-AS FRISSÍTÉS!";"АБНАЎЛЕННЕ 1.83!";"ACTUALIZAREA 1.83 S-A LANSAT";""
"update_info_url";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/fr/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/es/game/changelog/";"https://warthunder.com/ru/game/changelog/";"https://warthunder.com/pl/game/changelog/";"https://warthunder.com/cz/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/zh/game/changelog/";"https://warthunder.com/zh/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/pt/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/ko/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";"https://warthunder.com/en/game/changelog/";""
"get_gold";"Get ♂FUCKING SLAVES♂";"Obtenez des Golden Eagles";"Ottieni Aquile D'oro";"Golden Eagles kaufen";"Conseguir oro";"Пополнить счёт";"Kup złoto";"Získat Zlaté orlice";"Altın kartal Alın";"购买金鹰";"購買金鷹";"ゴールドを獲得";"Obter Gold";"Nạp vàng";"Поповнити рахунок ";"Nabavi Zlatne Orlove";"골든 이글 구매";"Arany Sas vásárlása";"Папоўніць рахунак";"Obține Vulturi de aur";""
"game_video";"♂Gay♂ video";"Jeu vidéo";"Video di gioco";"Video";"Vídeo del juego";"Игровое видео";"Film z gry";"Videa ze hry";"Oyun videosu";"游戏视频";"遊戲影片";"ゲームビデオ";"Video do Jogo";"Video trò chơi";"Ігрове відео";"Snimci igre";"게임 동영상";"Videók";"Відэа з гульні";"Filme joc";""
"wt_live";"Live ♂Cum♂";"Communauté Live";"Comunitá Live";"Live-Community";"Comunidad Live";"Жизнь сообщества";"Dynamiczna społeczność";"Live komunita";"Live Topluluk";"在线社区";"遊戲影片";"ゲームビデオ";"Video do Jogo";"Video trò chơi";"Життя спільноти";"Zajednica uživo";"라이브 커뮤니티";"Live közösség";"Жыццё супольнасці";"Comunitate live";""
"wt_live_url";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";"https://live.warthunder.com";""
"debug_settings";"Debug Settings";"Paramètres de débogage";"Impostazioni debug";"Debug-Einstellungen";"Configuración de depuración";"Отладочные параметры";"Ustawienia debugowania";"Nastavení ladění";"Debug ayarları";"调试设置";"偵錯設定";"デバッグ設定";"Configurações do Debug";"Cài đặt debug";"Відлагоджуючі параметри";"Debug podešavanja";"디버그 설정";"Hibakeresési beállítások";"Адладжвальныя параметры";"Setări depanare";""
"settings/adv/rendingstGlobalShadows_title";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"settings/adv/lastClipSize";"Terrain far details";"Détails du terrain éloigné";"Dettagli distanza terreno";"Details für entferntes Gelände";"Detalles del terreno";"Детальный дальний ландшафт";"Detale terenu";"Detaily vzdáleného terénu";"Uzaktaki arazi detayları";"地形远处细节";"地形遠處細節";"遠方の地形の細部描画";"Detalhes do terreno longínquos";"Chi tiết địa hình từ xa";"Деталізація дальнього ландшафту";"Udaljeni detalji terena";"원거리 지형 상세";"Távoli tereprészletek";"Дэталізацыя далёкага краявіду";"Detalii teren îndepărtat";""
"settings/adv/lenseFlares";"Lens flares";"Lense flare";"Riflessi Lenti";"Lensflare-Effekte";"Destellos de lente";"Эффекты линз";"Flary";"Odlesky v objektivu";"Mercek parlaması";"镜头光晕";"鏡頭光暈";"レンズフレア";"Brilho das lentes";"Ánh sáng đèn";"Ефекти лінз";"Odsjaj sočiva";"렌즈 플래어";"Becsillanás";"Святлорассеянне ў аб'ектыве";"Reflexii lentile";""
"settings/SSAOquality";"SSAO quality";"Qualité SSAO";"Qualità SAAO";"SSAO-Qualität";"Calidad SSAO";"SSAO";"Jakość SSAO";"Kvalita SSAO";"SSAO Kalitesi";"SSAO 质量";"SSAO 品質";"SSAO 品質";"Qualidade da SSAO";"Chất lượng SSAO";"SSAO";"Kvalitet SSAO";"SSAO 품질";"SSAO minősége";"SSAO";"Calitate SSAO";""
